  Term          J     E, cm^-1
1     a5D      4.0    0.000
1     a5D      3.0    415.933
1     a5D      2.0    704.007
1     a5D      1.0    888.132
1     a5D      0.0    978.074
2     a5F      5.0    6928.268
2     a5F      4.0    7376.764
2     a5F      3.0    7728.060
2     a5F      2.0    7985.785
2     a5F      1.0    8154.714
3     a3F      4.0    11976.239
3     a3F      3.0    12560.934
3     a3F      2.0    12968.554
4     a5P      3.0    17550.181
4     a5P      2.0    17726.988
4     a5P      1.0    17927.382
5     a3P2     2.0    18378.186
5     a3P2     1.0    19552.478
5     a3P2     0.0    20037.816
6     z7Do     5.0    19350.891
6     z7Do     4.0    19562.439
6     z7Do     3.0    19757.032
6     z7Do     2.0    19912.495
6     z7Do     1.0    20019.635
7     a3H      6.0    19390.168
7     a3H      5.0    19621.006
7     a3H      4.0    19788.251
8     b3F2     4.0    20641.110
8     b3F2     3.0    20874.482
8     b3F2     2.0    21038.987
9     a3G      5.0    21715.732
9     a3G      4.0    21999.130
9     a3G      3.0    22249.429
10    z7Fo     6.0    22650.416
10    z7Fo     5.0    22845.869
10    z7Fo     4.0    22996.674
10    z7Fo     3.0    23110.939
10    z7Fo     2.0    23192.500
10    z7Fo     1.0    23244.838
10    z7Fo     0.0    23270.384
11    b3P      2.0    22838.323
11    b3P      1.0    22946.816
11    b3P      0.0    23051.750
12    z7Po     4.0    23711.456
12    z7Po     3.0    24180.862
12    z7Po     2.0    24506.917
13    b3G      5.0    23783.619
13    b3G      4.0    24118.819
13    b3G      3.0    24338.767
14    c3P      2.0    24335.766
14    c3P      1.0    24772.018
14    c3P      0.0    25091.599
15    a1G      4.0    24574.655
16    z5Do     4.0    25899.989
16    z5Do     3.0    26140.179
16    z5Do     2.0    26339.696
16    z5Do     1.0    26479.381
16    z5Do     0.0    26550.479
17    b3H      6.0    26105.908
17    b3H      5.0    26351.040
17    b3H      4.0    26627.609
18    a3D      3.0    26224.969
18    a3D      1.0    26406.465
18    a3D      2.0    26623.735
19    z5Fo     5.0    26874.550
19    z5Fo     4.0    27166.820
19    z5Fo     3.0    27394.691
19    z5Fo     2.0    27559.583
19    z5Fo     1.0    27666.348
20    a1P      1.0    27543.003
21    a1D      2.0    28604.613
22    a1H      5.0    28819.954
23    z5Po     3.0    29056.324
23    z5Po     2.0    29469.024
23    z5Po     1.0    29732.736
24    a1I      6.0    29313.008
25    b3D      1.0    29320.026
25    b3D      2.0    29356.744
25    b3D      3.0    29371.812
26    b1G2     4.0    29798.936
27    z3Fo     4.0    31307.245
27    z3Fo     3.0    31805.071
27    z3Fo     2.0    32133.991
28    z3Do     3.0    31322.613
28    z3Do     2.0    31686.351
28    z3Do     1.0    31937.325
29    c3F      4.0    32873.632
29    c3F      3.0    33412.717
29    c3F      2.0    33765.306
30    y5Do     4.0    33095.941
30    y5Do     3.0    33507.123
30    y5Do     2.0    33801.572
30    y5Do     1.0    34017.103
30    y5Do     0.0    34121.603
31    y5Fo     5.0    33695.397
31    y5Fo     4.0    34039.516
31    y5Fo     3.0    34328.752
31    y5Fo     2.0    34547.211
31    y5Fo     1.0    34692.148
32    z3Po     2.0    33946.933
32    z3Po     1.0    34362.873
32    z3Po     0.0    34555.597
33    b1D2     2.0    34636.792
34    z5Go     5.0    34782.421
34    z5Go     6.0    34843.957
34    z5Go     4.0    35257.324
34    z5Go     3.0    35611.625
34    z5Go     2.0    35856.402
35    z3Go     5.0    35379.208
35    z3Go     4.0    35767.564
35    z3Go     3.0    36079.372
36    y3Fo     4.0    36686.176
36    y3Fo     3.0    37162.746
36    y3Fo     2.0    37521.161
37    y5Po     3.0    36766.966
37    y5Po     2.0    37157.566
37    y5Po     1.0    37409.555
38    d3F      2.0    36940.590
38    d3F      3.0    36975.588
38    d3F      4.0    37045.934
39    y3Do     3.0    38175.355
39    y3Do     2.0    38678.039
39    y3Do     1.0    38995.736
40    x5Do     4.0    39625.804
40    x5Do     3.0    39969.853
40    x5Do     2.0    40231.336
40    x5Do     1.0    40404.518
40    x5Do     0.0    40491.284
41    y7Po     2.0    40052.035
41    y7Po     3.0    40207.091
41    y7Po     4.0    40421.938
42    x5Fo     5.0    40257.314
42    x5Fo     4.0    40594.432
42    x5Fo     3.0    40842.154
42    x5Fo     2.0    41018.051
42    x5Fo     1.0    41130.599
43    3P       2.0    40871.412
43    3P       1.0    41178.412
43    3P       0.0    41234.505
44    z5So     2.0    40894.990
45    x5Po     3.0    42532.741
45    x5Po     2.0    42859.778
45    x5Po     1.0    43079.023
46    y5Go     6.0    42784.352
46    y5Go     5.0    42911.917
46    y5Go     4.0    43022.985
46    y5Go     3.0    43137.487
46    y5Go     2.0    43210.025
47    e7D      5.0    42815.855
47    e7D      4.0    43163.326
47    e7D      3.0    43434.627
47    e7D      2.0    43633.533
47    e7D      1.0    43763.980
48    z5Io     6.0    42903.861
48    z5Io     4.0    43442.705
48    z5Io     5.0    43460.121
